year,county,avg_price,median_price,num_sales
2015,Kildare,240619.0,222000.0,807
2015,Kilkenny,165291.0,136000.0,249
2015,Laois,143314.0,110000.0,231
2015,Leitrim,91945.0,70000.0,197
2015,Limerick,135102.0,105000.0,751
2015,Longford,79283.0,65000.0,173
2015,Louth,147213.0,134146.0,451
2015,Mayo,107236.0,90000.0,465
2015,Meath,212214.0,190000.0,577
2015,Monaghan,107894.0,95000.0,127
2015,Offaly,118944.0,100010.0,179
2015,Roscommon,80294.0,62750.0,250
2015,Sligo,129786.0,96000.0,242
2015,Tipperary,118497.0,100000.0,470
2015,Waterford,133053.0,100000.0,462
2015,Westmeath,117233.0,106000.0,339
2015,Wexford,132496.0,115000.0,561
2015,Wicklow,282145.0,242291.0,489
2016,Carlow,138843.0,135000.0,206
2016,Cavan,112099.0,87225.0,315
2016,Clare,147165.0,132000.0,405
2016,Cork,210184.0,185000.0,2060
2016,Donegal,104318.0,90000.0,509
2016,Dublin,377797.0,298000.0,5630
2016,Galway,177100.0,150000.0,998
2016,Kerry,152028.0,125000.0,572
2016,Kildare,247336.0,244000.0,957
2016,Kilkenny,177951.0,157500.0,256
2016,Laois,126745.0,125000.0,314
2016,Leitrim,89106.0,75000.0,175
2016,Limerick,145204.0,130000.0,677
2016,Longford,81836.0,65000.0,163
2016,Louth,174467.0,152000.0,460
2016,Mayo,111658.0,95000.0,463
2016,Meath,222912.0,205000.0,653
2016,Monaghan,114454.0,100000.0,142
2016,Offaly,113345.0,100000.0,224
2016,Roscommon,94623.0,74000.0,258
2016,Sligo,119759.0,86000.0,271
2016,Tipperary,126220.0,106500.0,464
2016,Waterford,137450.0,115000.0,570
2016,Westmeath,136555.0,120000.0,336
2016,Wexford,152034.0,136000.0,564
2016,Wicklow,306834.0,256388.0,513
2017,Carlow,143173.0,130000.0,203
2017,Cavan,124981.0,100048.0,330
2017,Clare,144034.0,135000.0,458
2017,Cork,221561.0,200000.0,2229
2017,Donegal,115559.0,103000.0,485
2017,Dublin,405638.0,322500.0,6648
2017,Galway,210934.0,180000.0,1048
2017,Kerry,156911.0,135000.0,608
2017,Kildare,271197.0,251764.0,1065
2017,Kilkenny,169633.0,155000.0,292
2017,Laois,150688.0,135000.0,246
2017,Leitrim,111627.0,90000.0,170
2017,Limerick,171232.0,152000.0,706
2017,Longford,99915.0,84000.0,150
2017,Louth,202502.0,172000.0,524
2017,Mayo,127164.0,105000.0,447
2017,Meath,244664.0,235000.0,861
2017,Monaghan,121368.0,100000.0,187
2017,Offaly,139243.0,125000.0,263
2017,Roscommon,116521.0,93113.0,263
2017,Sligo,133717.0,110000.0,273
2017,Tipperary,131998.0,118000.0,565
2017,Waterford,159052.0,135000.0,501
2017,Westmeath,167697.0,145000.0,405
2017,Wexford,159433.0,150725.0,650
2017,Wicklow,322069.0,291250.0,574
2018,Carlow,176638.0,175330.0,257
2018,Cavan,131109.0,120395.0,305
2018,Clare,169119.0,165000.0,433
2018,Cork,245337.0,220000.0,2133
2018,Donegal,115800.0,105000.0,522
2018,Dublin,417006.0,334802.0,6480
2018,Galway,227082.0,197000.0,921
2018,Kerry,160009.0,145000.0,609
2018,Kildare,286684.0,270000.0,1089
2018,Kilkenny,206660.0,180000.0,307
2018,Laois,164050.0,160000.0,304
2018,Leitrim,105894.0,95000.0,161
2018,Limerick,198592.0,175000.0,778
2018,Longford,99466.0,85000.0,161
2018,Louth,203229.0,196500.0,544
2018,Mayo,127899.0,115000.0,455
2018,Meath,258653.0,245750.0,944
2018,Monaghan,131703.0,100000.0,175
2018,Offaly,145228.0,130000.0,277
2018,Roscommon,110988.0,90000.0,293
2018,Sligo,131451.0,98000.0,367
2018,Tipperary,146680.0,128734.0,546
2018,Waterford,180563.0,164000.0,529
2018,Westmeath,174454.0,162902.0,374
